"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1997-05",101.1305,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1997-06",101.2808,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1997-07",101.3941,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1997-08",101.429,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1997-09",101.44,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1997-10",101.4281,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1997-11",101.4181,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1997-12",101.4081,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1998-01",101.484,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1998-02",101.5811,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1998-03",101.609,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1998-04",101.5898,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1998-05",101.5151,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1998-06",101.4214,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1998-07",101.3494,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1998-08",101.2687,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1998-09",101.2137,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1998-10",101.2435,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1998-11",101.3875,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1998-12",101.5368,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1999-01",101.7194,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1999-02",101.8431,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1999-03",101.8371,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1999-04",101.7926,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1999-05",101.7803,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1999-06",101.7935,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1999-07",101.8013,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1999-08",101.8222,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1999-09",101.8821,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1999-10",101.9661,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1999-11",102.0906,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1999-12",102.2238,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2000-01",102.3622,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2000-02",102.3992,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2000-03",102.3695,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2000-04",102.3609,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2000-05",102.3441,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2000-06",102.2894,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2000-07",102.26,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2000-08",102.1829,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2000-09",102.0395,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2000-10",101.9305,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2000-11",101.7918,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2000-12",101.5686,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2001-01",101.3497,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2001-02",101.1845,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2001-03",101.0977,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2001-04",101.0384,
